,class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,0.0,0.151,0.0,0.049,0.01672,0.708,0.7077560821694968,0.007113,0.049,0.0,0.0,-0.245,-1.093,-0.776,-3.11,0.0,0.00110335986435556,0.0,20948.0,2.3713,1.1976,0.0,0.1478,0.0081,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.2898,0.2898
1,0.0,0.002,0.0,0.009,0.00606,0.505,0.25187016682987784,0.005102,0.003,0.0,0.0,-1.393,-1.085,-0.697,-4.29,0.0,7.54333756900231e-05,0.0,20928.0,0.912,0.4848,1.0,0.3936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.253
2,0.0,0.05,0.0,0.063,0.10255,0.749,0.5544644269254583,0.006173,0.274,0.0,0.0,-0.481,-0.121,-0.005,-1.45,0.0,0.00315558262777932,0.0,20925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.023,0.0,0.066,0.05594,9.14,0.5307839314939181,0.00344,0.911,0.998,0.766,0.451,0.0,-0.01,0.463,1.0,0.00022131345765999,0.0,20994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.002,0.009,0.081,0.07843,15.97,0.5653016737224233,0.006366,0.962,0.92,0.999,-0.309,0.28,0.332,0.736,0.0,0.000110898121733545,0.0,21007.0,0.8385,0.3231,0.0,0.1687,0.0042,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,0.2071,0.2071
5,0.0,0.018,0.002,0.011,0.0442,4.861,0.4098953563389556,0.008294,0.024,0.164,0.272,-1.154,-0.156,-0.172,-0.431,0.0,0.00010528757502877,0.0,20894.0,2.3713,1.5988,0.0,0.1824,0.0,0.0008,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.006
6,0.0,0.01,0.06,0.039,0.16377,15.39,0.5580326426218595,0.004811,0.694,0.987,0.999,-0.435,-0.039,0.416,-1.41,0.0,0.000264756756512217,0.0,21023.0,0.8873,0.2255,1.0,0.6175,0.003,0.0,0.0,0.0,8.33,1.08,1.08,-1.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3824,0.3824
7,0.0,0.19,0.0,0.023,0.01549,5.8,0.6150720296944764,0.006431,0.681,0.002,0.001,0.249,1.677,0.744,2.42,0.0,0.000132757725588595,0.0,20887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.015,0.002,0.002,0.0002,1.223,0.2978692994523011,0.003799,0.083,0.0,0.0,-1.347,-1.084,-1.008,-3.21,0.0,0.000233732765708982,0.0,20877.0,1.3455,0.6909,0.0,0.2311,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337,0.3343
9,0.0,0.008,0.0,0.774,0.76303,21.5,0.9728878992698702,0.019037,0.806,0.999,1.0,0.307,1.854,4.64,3.63,0.0,0.000201713003494174,0.0,21054.0,0.6561,0.5503,0.0,0.6188,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.1112,0.1112
10,0.0,0.032,0.002,0.002,0.00081,0.287,0.2102265751259641,0.005317,0.006,0.002,0.003,-1.347,-0.778,-0.706,-3.38,0.0,0.000233732765708982,0.0,21060.0,1.3455,0.6909,1.0,0.2311,0.0057,0.0057,0.0588,0.0,4.43,1.23,-1.23,1.23,0.0,1.0,0.0,0.0225,0.0,0.0,0.0,0.1686,0.4214
11,0.0,0.0,0.151,0.598,0.77706,11.23,0.6213242456266886,0.006197,0.996,0.999,0.997,0.452,1.064,0.321,3.59,0.0,0.00286575150566507,0.0,20853.0,1.2698,0.0212,0.0,0.1652,0.0,0.0,0.0,0.0526,9.91,1.95,1.95,-1.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0824,0.0824
12,0.0,0.008,0.004,0.034,0.03508,8.635,0.7272923204938337,0.007501,0.266,0.943,0.202,-1.065,-0.861,-0.669,-3.75,1.0,0.000574224091111041,0.0,21077.0,0.8873,0.2255,0.0,0.1478,0.0081,0.0,0.0,0.0,4.2,0.42,-0.42,0.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4268,0.4268
13,0.0,0.021,0.003,0.02,0.06483,14.88,0.9310673675131449,0.005877,0.187,0.996,1.0,0.198,0.095,1.866,0.794,0.0,0.000361751348760111,0.0,20829.0,0.8952,0.5475,1.0,0.6188,0.0,0.0,0.0,0.024,4.02,0.74,-0.74,0.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1595,0.1595
14,0.0,0.004,0.0,0.001,0.00186,0.008,0.5907763119436428,0.0,0.0,0.0,0.0,-2.287,-5.363,-5.565,-7.59,0.0,0.00162229714546999,0.0,20816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.014,0.00209,5.006,0.63398940561076,0.004461,0.051,0.038,0.052,0.198,0.195,0.202,0.158,0.0,0.000522094833853921,0.0,21100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.304,0.004,0.034,0.03237,0.779,0.35718598194713574,0.0,0.002,0.004,0.005,0.508,1.525,1.245,2.64,0.0,0.00317873580456222,0.0,20813.0,0.4586,0.9624,1.0,0.5901,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.1938,0.1938
